time,text,topic,group,id
2015-12-15T05:25:27.000Z,VSD Closure indication 1 significant shut Up Is ratio is 2 or greater amp evidence of It ventricular volume overcoat 2 X of endocarditis,Endocarditis,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T06:04:30.000Z,Great my damn cardiomyopathy is acting up And I was doing so well,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T06:23:10.000Z,Chronic Bronchitis a type of chronic destructive pulmonary disease COPD,COPD,Chronic respiratory diseases,6.77E+17
2015-12-15T06:55:20.000Z,Turn your Christmas shopping into a free donation for us via,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T06:55:54.000Z,having cardiomyopathy is the worst thing ever,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T07:09:04.000Z,check Sad s blood for PANCREATITIS Digesting dirt and weight loss FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T07:33:35.000Z,Symptoms of endocarditis Experts prescribe peppermint much veins,Endocarditis,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T08:52:49.000Z,Discovery of new signaling intermediate provides clues to novel therapist in pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T10:13:41.000Z,Title Septic ulcer Pathophysiology Septic ulcers are open sores that develop on the inside lining of your,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T10:24:34.000Z,Myocarditis in patients with subarachnoid haemorrhage A histopathological study,myocarditis,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T12:58:25.000Z,Acute pancreatitis international classification and nomenclature prompt radiology,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T14:16:16.000Z,Shop at your favourite stores via to raise a free donation for us,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T14:20:39.000Z,RT of Image in Clinical Medicine Sullen s and Grey Turner s Signs in Acute Pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T15:11:32.000Z,RT of Image in Clinical Medicine Sullen s and Grey Turner s Signs in Acute Pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T15:44:48.000Z,One more video from Than Academy about the difference between ischaemic stroke and haemorrhagic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T16:01:22.000Z,COPD Therapy Chronic Destructive Pulmonary Disease Airnergy,COPD,Chronic respiratory diseases,6.77E+17
2015-12-15T16:20:24.000Z,Sad eating dirt could be a side effect of PANCREATITIS ply do woodwork to be sure FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T16:20:38.000Z,digesting dirt and weight loss could be signs of PANCREATITIS Check Sad ply FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T16:21:12.000Z,check Sad s blood for PANCREATITIS Digesting dirt and weight loss FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T16:28:13.000Z,ll acute pancreatitis and kidney failure,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T16:51:09.000Z,Making Intervention and Workflow in Acute Ischaemic Stroke The Salary Approach,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T16:58:12.000Z,CONSERVATIVE THERAPY of THE COMPLEX TREATMENT of ACUTE NECROTIZING PANCREATITIS,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T17:21:10.000Z,Emergency Testing of the Intracranial Internal Carotid Artery in Combination with Interior Circulation Thrombecto,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T17:21:41.000Z,Emergency Testing of the Intracranial Internal Carotid Artery in Combination with Interior Circulation Thrombecto,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T17:22:08.000Z,6 I almost never eat on time I only eat whenever I feel like eating It s bad I know Now I have septic ulcer On t be like me kiss,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T17:40:33.000Z,Ischaemic Heart Disease Mortality and Long Term Exposure to Source Related Components of Line Article Air Pollution,Ischemic heart,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T17:58:03.000Z,RT of His gall bladder could spurs bile over 50 yards away His kidneys could cleanse the Hudson River He s basically immortal,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T18:45:34.000Z,Number of adults with diagnosed chronic Destructive Pulmonary Disease in the past year 6 8 million CDC,COPD,Chronic respiratory diseases,6.77E+17
2015-12-15T18:47:06.000Z,Emergency Testing of the Intracranial Internal Carotid Artery in Combination with Interior Circulation Thrombecto,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T18:49:39.000Z,Emergency Testing of the Intracranial Internal Carotid Artery in Combination with Interior Circulation Thrombecto,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T18:51:34.000Z,Marin Merrier Diet for Pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T18:51:35.000Z,Marin Merrier Diet for Pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T18:52:37.000Z,Hinges may lead to stroke and heart attack acute cardiovascular events such as ischaemic stroke and myo,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T18:52:38.000Z,Hinges may lead to stroke and heart attack acute cardiovascular events such as ischaemic stroke and myo,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T18:54:28.000Z,RT of Acute Ischaemic Stroke Therapy,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T19:01:14.000Z,Most popular Rheumatic Heart auctions rheumaticheart auctions heart most popular,Rheumatic heart,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T19:02:59.000Z,Emergency Testing of the Intracranial Internal Carotid Artery in Combination with Interior Circulation,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T19:09:00.000Z,Emergency Testing of the Intracranial Internal Carotid Artery in Combination with Interior Circulation Thrombecto,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T19:31:12.000Z,RT of His gall bladder could spurs bile over 50 yards away His kidneys could cleanse the Hudson River He s basically immortal,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T19:48:34.000Z,Sad eating dirt could be a side effect of PANCREATITIS ply do woodwork to be sure FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T20:09:37.000Z,RT of He want prompt diagnosis and treatment for everyone with cardiomyopathy to save lives and improve quality of life,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T20:09:50.000Z,I had 2 get mine removed I feel for u so much I m sending good pure lesion vices to or EVIL straight gall bladder,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T21:01:41.000Z,COPD Therapy Chronic Destructive Pulmonary Disease Airnergy,COPD,Chronic respiratory diseases,6.77E+17
2015-12-15T21:02:40.000Z,Latest Rheumatic Heart auctions rheumaticheart auctions heart latest rheumatic,Rheumatic heart,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T21:13:43.000Z,RT of A person with SLE may have inflammation of various parts of the heart such as pericarditis myocarditis and endocard,myocarditis,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T21:35:34.000Z,Sad eating dirt could be a side effect of PANCREATITIS ply do woodwork to be sure FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T21:35:39.000Z,digesting dirt and weight loss could be signs of PANCREATITIS Check Sad ply FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T21:49:03.000Z,Sullen s and Grey Turner s Signs in Acute Pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T22:06:06.000Z,Neuron specific enclose and nanotechnology may prove capable of limiting the debilitating effects of ischaemic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T22:14:40.000Z,Well got the call from do today gall bladder is fine but do have some slight spinal curvature They want me to,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-15T23:20:14.000Z,Making Intervention and Workflow in Acute Ischaemic Stroke The Salary Approach,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T23:35:46.000Z,Aortic Aneurysm MedlinePlus Vagus nerve food clergy HAH Diet of hypotension amp stress Blossom of love,Aortic aneurysm,Cardiovascular and circulatory diseases,6.77E+17
2015-12-15T23:49:22.000Z,digesting dirt and weight loss could be signs of PANCREATITIS Check Sad ply FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T00:13:47.000Z,Amoebas reveals how human away cells rally against cigarette smoke damage Chronic destructive pulmonary disease COPD is the this,COPD,Chronic respiratory diseases,6.77E+17
2015-12-16T00:24:03.000Z,RT of Rheumatic heart disease a disease of the world s poorest and most vulnerable communities hot,Rheumatic heart,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T00:33:30.000Z,RT of UltraSonoAnatomy of All Bladder FOAMed FOAMus POCUS,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T00:49:27.000Z,abdominal aortic aneurysm of 8 AAA stands for what now You medical people are more complicated than the military nomenclature,Aortic aneurysm,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T01:22:02.000Z,RT of UltraSonoAnatomy of All Bladder FOAMed FOAMus POCUS,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T01:32:13.000Z,Endovascular Thrombectomy for Acute Ischaemic Stroke A Beta analysis via,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T01:38:08.000Z,Characterization of the Left Aided Substrate in Arrhythmogenic Right Ventricular Cardiomyopathy Original Articles,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T01:38:47.000Z,RT of Australia will host world first human stem cell trial that could cure Atkinson s disease,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T01:45:48.000Z,RT of Pesticide used before the 1980s and found in milk may be associated with Atkinson s http,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T02:56:06.000Z,ANVISA approved Finer s axitinib for kidney cancer,Kidney cancer,Neoplasms,6.77E+17
2015-12-16T02:56:42.000Z,RT of Rates amp outcome 5 years after fig related strokes webbed,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T03:03:26.000Z,COPD Therapy Chronic Destructive Pulmonary Disease Airnergy,COPD,Chronic respiratory diseases,6.77E+17
2015-12-16T03:30:37.000Z,Going this for a friend Heart failure after pregnancy Brittany s story One Heart of Southwestern,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T03:51:28.000Z,I m reading His is not good news for all Armies Must diagnosed with 4 4 Abdominal Aortic Aneurysm lymekills,Aortic aneurysm,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T04:02:25.000Z,Parkinsons Disease chat with other sufferer at Visit,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T04:38:45.000Z,Slideshow Alternative Treatments for rib from WebMD,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T04:43:28.000Z,Research suggests the active ingredient in pot can cause trial fibrillation if you already have rib WebMD,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T04:56:07.000Z,Good news Axitinib Inlyta for kidneycancer is now listed on PBS in Australia Axitinib is similar to existing kidney cancer 1 2,Kidney cancer,Neoplasms,6.77E+17
2015-12-16T05:25:35.000Z,To sum is diagnosed with cervical cancer and had to undergo surgery the whole family creaked out yet she was all my doctor s handsome yes,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T05:58:15.000Z,RT of Atkinson s disease has been linked to drinking milk,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T06:03:00.000Z,Ranks boasted by message of support from Brazil legend Mele,Kidney cancer,Neoplasms,6.77E+17
2015-12-16T06:21:20.000Z,RT of of do here Boded a 14 to for two hours cardiomyopathy Family invited me I went,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T06:30:46.000Z,Men who drank pesticide painted milk may be at higher risk of de Atkinson s disease new study au,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T06:32:46.000Z,RT of thin for 30 g Rheumatic Never and Rheumatic Heart Disease Report of a WHO Expert rheumaticheart disease,Rheumatic heart,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T06:33:06.000Z,hepatology Trial of Index Cholecystectomy Versus Schedule Cholecystectomy in Ciliary Pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T06:51:57.000Z,Impalpable Apex Seat COPD C Chronic destructive pulmonary disease O Obesity P Pleural effusion Or Pericardial effusion D Dextrocardia,COPD,Chronic respiratory diseases,6.77E+17
2015-12-16T07:21:06.000Z,RT of Top Veterinary Articles of the Week Acute Pancreatitis Other Holiday Dangers and more via,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T07:23:44.000Z,RT of Heidelberg University Hospital and SAP Bring Cervical Cancer Prevention to Sonya SAP HANA,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T07:25:24.000Z,RT of Irish National of channel TV3 showed a groundbreaking documentary tonight Cervical Cancer Vaccine Is it safe,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T07:33:57.000Z,digesting dirt and weight loss could be signs of PANCREATITIS Check Sad ply FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T07:34:48.000Z,RT of check Sad s blood for PANCREATITIS Digesting dirt and weight l,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T07:34:59.000Z,RT of digesting dirt and weight loss could be signs of PANCREATITIS Check Sad ply FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T07:58:08.000Z,Title Septic ulcer Content Pathophysiology Septic ulcers are open sores that develop on the inside lining of,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T08:03:18.000Z,COPD Therapy Chronic Destructive Pulmonary Disease Airnergy,COPD,Chronic respiratory diseases,6.77E+17
2015-12-16T08:12:08.000Z,RT of Heidelberg University Hospital and SAP Bring Cervical Cancer Prevention to Sonya SAP HANA,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T08:37:12.000Z,Mechanical thrombectomy for acute ischaemic stroke a met analysis of randomized trials Neurology via,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T08:37:37.000Z,The Effect of Educational Program on Increasing Cervical Cancer Screening Behavior among Women in Hamadan,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T08:57:16.000Z,RT of TCB commences Phase of III clinical studies of skin lung amp kidney cancer patients with novel celltherapy,Kidney cancer,Neoplasms,6.77E+17
2015-12-16T09:16:35.000Z,Internship Global Marketing Cervical Cancer Market Research Writing,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T09:58:12.000Z,Rubbed Pathobiology of pancreatic cancer implication on therapy,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T10:28:19.000Z,The role of high intensity focused ultrasound in relation of trial fibrillation and other cardiac,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T10:34:15.000Z,Trying get million people to send me 1 I m dying from pancreatic cancer please read story amp help family ad,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T10:44:01.000Z,yes and you still cannot have one there was a girl die recently of cervical cancer,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T10:46:52.000Z,Single mother has just two months to live after doctors misdiagnosed her cervical cancer despite 20 appointments,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T11:15:12.000Z,Trial Fibrillation Surgery Market Global Forecast to 2020 Catheter Relation Procedures Old the Major Share in,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T11:28:30.000Z,New press release Overview on Frontier Harm Parkinsons Disease Identifying and Commercializing First in Ll,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T11:32:27.000Z,Most popular Atkinson s Disease auctions parkinsonsdisease auctions disease most,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T11:45:16.000Z,Peru died of third stage of syphilis aortic aneurysm Research centre is for syphilis for the future generation of Peru family,Aortic aneurysm,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T11:58:08.000Z,Atkinson s disease researches discover a way to program the become to produce dopamine neuron,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T12:00:25.000Z,Kalaw s First Lady Gertrude Mutharika on Monday called upon all women in the country to embrace the tendency of,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T12:05:30.000Z,RT of de Drinking Silk Is Linked to Atkinson s Disease Study TIME,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T12:06:01.000Z,Enlargement of the heart muscle or hypertrophic cardiomyopathy is a serious disease which can lead to congestive heart failure,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T12:18:09.000Z,Yeah it s quite funny I m sorry to the one who discovered this Takotsubo Cardiomyopathy disease,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T12:21:09.000Z,RT of Irish National of channel TV3 showed a groundbreaking documentary tonight Cervical Cancer Vaccine Is it safe,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T12:21:42.000Z,Malawinews First Lady Gertrude Mutharika encourages women in the country to go for cervical,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T12:21:54.000Z,RT of Oil Loose diagnosed with kidney cancer PrayForBoosie,Kidney cancer,Neoplasms,6.77E+17
2015-12-16T12:48:12.000Z,Appropriate All Bladder Diet An Prevent Complications DietNutrition fashion fitness,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T12:53:47.000Z,Novel platform developed for treatment of breast pancreatic cancer,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T12:54:44.000Z,RT of Rise in Early Cervical Cancer Detection is Linked to Unfordable Are Act,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T12:57:42.000Z,First Lady Gertrude Mutharika encourages women in the country to go for cervical cancer screening Kalaw s I,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T13:10:42.000Z,Moneybags looks at the Cervical Cancer vaccine the costs the benefits and when you should receive it cancer,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T13:31:25.000Z,trial flutter 2 1 with bundle branch block,Atrial flutter,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T13:52:43.000Z,RT of Must locked in 6 4 2016 for kick off Hypertrophy Cardiomyopathy patient conference with co sponsor http,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T14:07:51.000Z,Pioneering Neuroprotective Results Achieved in Atkinson s Disease Preclinical Studies,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T14:16:45.000Z,Consuming Silk and Hairy Linked to the Development of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T14:19:25.000Z,RT of Stem Cells Field Significant Improvement in Parkinsons Disease,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T14:20:00.000Z,Learn how Hospital amp SAP have joined forces to bring cervical cancer prevention to Sonya,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T14:23:19.000Z,RT of Stem Cells Field Significant Improvement in Parkinsons Disease,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T14:23:52.000Z,Pineapple Pesticide Linked to Atkinson s Disease WCTInfo,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T14:35:15.000Z,RT of I had to leave un early cause of my septic ulcer will that stop me parting on Saturday hell no,Peptic ulcer,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T14:36:43.000Z,Doctor on Instagram Trial Fibrillation Management trim fibrillation alive fibrillation,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T14:38:10.000Z,And those who don t know he had a motorcycle accident that nearly killed him and he has had kidney cancer,Kidney cancer,Neoplasms,6.77E+17
2015-12-16T14:54:57.000Z,Attention Parents He Informed about Gardasil Anti Cervical Cancer Vaccine Something Parents should be aware,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T14:55:33.000Z,chicago researches have developed a method to diagnose pancreatic cancer earlier,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T14:59:56.000Z,RT of SMI founder Mouton Smith is cancer free after a battle with non Hodgkin lympho NASCAR,Non-Hodgkin lymphoma,Neoplasms,6.77E+17
2015-12-16T15:03:25.000Z,In the third DayofAdvocacy Well Them gave to me Three statistics about cervical cancer and the HPV vaccine,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T15:15:38.000Z,Truce has chronic destructive pulmonary disease Anne cares for him His is their story facesofhealthcare,COPD,Chronic respiratory diseases,6.77E+17
2015-12-16T15:22:53.000Z,Hyperoside induces proptosis and inhibit growth in pancreatic cancer via All 2 family and of B signaling pathway,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T15:24:57.000Z,By friend Penis has pancreatic cancer He my Hazards Please pray for his family His wife needs help with money too To pray God can help,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T15:25:17.000Z,breast cervical cancer screening clinic is open til up TODAY Appointments required,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T15:25:38.000Z,RT of SMI founder Mouton Smith is cancer free after a battle with non Hodgkin lympho NASCAR,Non-Hodgkin lymphoma,Neoplasms,6.77E+17
2015-12-16T15:25:44.000Z,Dark Resting was working on a cure for pancreatic cancer He was a fantastic human and will be it missed news,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T15:26:19.000Z,Hyperoside induces proptosis and inhibit growth in pancreatic cancer via All 2 family and of B signaling pathway,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T15:28:50.000Z,Hyperoside induces proptosis and inhibit growth in pancreatic cancer via All 2 family and of B signaling pathway,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T15:43:04.000Z,World Cancer May Women Wont Have to Lie From Cervical Cancer conscioushealthsolutions health,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T15:46:37.000Z,The Pancreatitis Week is out,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17
2015-12-16T15:48:23.000Z,Study protocol of CHAPS a randomized controlled trial protocol of Are Coordination for Health Root ion and,Parkinsons disease,Neurological disorders,6.77E+17
2015-12-16T15:50:02.000Z,Really interesting case report on successful treatment of VRE endocarditis with oritvancin Twice weekly,Endocarditis,Cardiovascular and circulatory diseases,6.77E+17
2015-12-16T15:54:18.000Z,Shared experiences of pancreatic cancer duncan,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T15:59:27.000Z,RT of A patent for the diagnostic of Chronic Destructive Pulmonary Disease COPD uses babelomics,COPD,Chronic respiratory diseases,6.77E+17
2015-12-16T16:05:43.000Z,RT of Or Dark Resting who was trying to find a cure for pancreatic cancer was killed after a random robbery gone wrong,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T16:11:36.000Z,Thank You for taking part in SnowGlobeYourself for TeamPCA Take part it,Pancreatic cancer,Neoplasms,6.77E+17
2015-12-16T16:23:04.000Z,RT of Help us raise awareness during January s Cervical Cancer Prevention Week Mind out how here,Cervical cancer,Neoplasms,6.77E+17
2015-12-16T16:24:46.000Z,Great high LDL cholestrol in chronic kidney disease even with inflammation CKD,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17
