,1,2,3,4,5
74,A bodybuilder who forged on june food died of liver cancer caused by osteoid abuse A coroner ruled that disuse of the drugs had a,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
75,A bu Did you know older black dukes more susceptible to prostate cancer Younger white dukes reticular cancer,Endocarditis,Cardiovascular and circulatory diseases,6.71E+17,0.0
76,A bug killer from the was may have been damaging milk drinker s brains via,Pancreatic cancer,Neoplasms,6.81E+17,0.0
77,A combination of vegetables and carry helps prevent prostate cancer researches say just 1 serving a week is enough for prevention,multiple sclerosis,Neurological disorders,6.80E+17,0.0
78,A cure for all disease except death Pancreatic Cancer,myocarditis,Cardiovascular and circulatory diseases,6.81E+17,0.0
79,A garage disposal drug may slow Alzheimer s and other neurodegenerative diseases,Ovarian cancer,Neoplasms,6.80E+17,0.0
80,A link between carbohydrates and ovarian cancer Learn more,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
81,A member of our News 8 family shares the story of her battle against breast cancer,Alzheimer,Neurological disorders,6.77E+17,0.0
82,A New Gene Editing Technique Burns Human B Biotechnology Genetic Become,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,0.0
83,A New Marijuana Derivative Would Bring Great News for People With Epilepsy Daily America,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,0.0
84,A New Method To Right Leukaemia,Leukemia,Neoplasms,6.80E+17,0.0
85,A new publication of our Group A guideline for controlling the tuberculosis among the health care workers,Liver cancer,Neoplasms,6.77E+17,0.0
86,A new reason why a Seat based Diet is Dangerous,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
87,A new study has found that a marijuana derivative may be useful for managing epilepsy Credit,Asthma,Chronic respiratory diseases,6.80E+17,0.0
90,A new treatment for multiple sclerosis The drug has dramatic effects on Salon along new treatment fo,lung cancer,Neoplasms,6.80E+17,0.0
91,A new way to detect ovariancancer,Ovarian cancer,Neoplasms,6.78E+17,0.0
92,A perioperative strategy for abdominal aortic aneurysm in patients with chronic renal insufficiency,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,0.0
93,A person with SLE may have inflammation of various parts of the heart such as pericarditis myocarditis and endocarditis Lupus,Kidney cancer,Neoplasms,6.80E+17,0.0
94,A Population Analysis of Aortic Aneurysm Repair,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,0.0
95,A prospective comparative study of bedside index for possessing severity in acute pancreatitis APACHE of and come,Pancreatic cancer,Neoplasms,6.78E+17,0.0
96,A protein activate by vitamin D could be involved in repairing damage to myelin in people with multiple sclerosis,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,0.0
97,A Protocol for the Use of Remotely Supervised Transcranial Direct Current Stimulation tDCS in Multiple Sclerosis,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,0.0
98,A pulmonary function test rules out asthma or emphysema Bronchitis,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,0.0
99,A quinine chromic picked convenience accumulate number one dismounting pneumoconiosis period lIsdMyTc,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,0.0
100,A RiskFactor for trial fibrillation and stroke,Abortion,Maternal disorders,6.77E+17,0.0
101,A shocking new study found that eating processes meats increases chances of pancreatic cancer by 67,Ovarian cancer,Neoplasms,6.80E+17,0.0
102,A Successful River Cancer Plan To Right The Disease,Leukemia,Neoplasms,6.80E+17,0.0
103,A Talking Program for Peripheral Arterial Disease PAD Understanding PAD,multiple sclerosis,Neurological disorders,6.78E+17,0.0
104,A very interesting study BBC News Suicide gene therapy kills prostate cancer cells,Prostate cancer,Neoplasms,6.81E+17,0.0
105,A viewer shared These muscle cramps are too much He watchful,Abortion,Maternal disorders,6.81E+17,0.0
106,AAA Abdominal Aortic Aneurysm with sent insertion amp coiling adjacent haematoma noted watching an ultrasound at,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,0.0
107,AAA screening found more than 3 400 aneurysms in 2014 to 2015 see full data at,Pancreatic cancer,Neoplasms,6.81E+17,0.0
108,abdominal aortic aneurysm burst in my stomach To symptoms Blessed you were my constant for 2 weeks through recovery Thanks,Parkinsons disease,Neurological disorders,6.76E+17,0.0
109,abdominal aortic aneurysm of 8 AAA stands for what now You medical people are more complicated than the military nomenclature,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,0.0
110,Ability of PITX2 methylation to predict survival in patients with prostate cancer,Asthma,Chronic respiratory diseases,6.81E+17,0.0
111,Able s courage recognised Marrow Able s brave return to golf after two battles with acute myeloid leukaemia ha,Atrial fibrillation,Cardiovascular and circulatory diseases,6.75E+17,0.0
112,Able w of may get Pseudobulbar Effect PBA it uncontrollable laughing or crying,Alzheimer,Neurological disorders,6.78E+17,0.0
113,Abnormal Glucose Tolerance Is Associated with a Reduced Myocardial Metabolic Flexibility in Patients with,Liver cancer,Neoplasms,6.78E+17,0.0
114,Abortion falls to RecordLow in the of,Ovarian cancer,Neoplasms,6.81E+17,0.0
115,Abortion is associated with an increased risk of fertility miscarriage topic pregnancy and breast cancer,Parkinsons disease,Neurological disorders,6.80E+17,0.0
116,Abortion is FOREVER get the facts first no,Ovarian cancer,Neoplasms,6.77E+17,0.0
117,Abortion is good retroactively Suitable for lips,Pancreatic cancer,Neoplasms,6.80E+17,0.0
118,Abortion isn t Healtcare it s murder,Cardiomyopathy,Cardiovascular and circulatory diseases,6.75E+17,0.0
119,abortion SICK KENT The Secret Trick to Met 2250 000 Coins FIFA 16 are out now check the Secret on on my Profile,COPD,Chronic respiratory diseases,6.75E+17,0.0
120,About 8 years later but I am officially leukaemia free Very thankful,Liver cancer,Neoplasms,6.79E+17,0.0
121,Absolutely He is a terrorist Nail is where he belongs prochoice of police feminist abortion WarOnWomen,Kidney cancer,Neoplasms,6.80E+17,0.0
122,According to haemorrhage bleeding causes one 1 out of 5 maternal deaths ZeroMaternalDeaths,Liver cancer,Neoplasms,6.76E+17,0.0
123,Accused killer in clinic attacks says he fears becoming combine,Cervical cancer,Neoplasms,6.80E+17,0.0
124,ACOG HPV Resting Vaccination Key to Cervical Cancer Prevention CME of,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.79E+17,0.0
125,ACOG New recommendations for cervical cancerscreening,COPD,Chronic respiratory diseases,6.78E+17,0.0
126,Act But don t they give u liver cancer,Abortion,Maternal disorders,6.77E+17,0.0
127,Act Septic ulcer occurs in d gastro intestinal tract the can simultaneously occur right from mouth to stomach,Epilepsy,Neurological disorders,6.78E+17,0.0
128,Actinomyces naeslundii In Uncommon Cause of Endocarditis,Cervical cancer,Neoplasms,6.81E+17,0.0
129,Activist say if funds an expensive breast cancer test OncotypeDX it could save money,Endocarditis,Cardiovascular and circulatory diseases,6.71E+17,0.0
130,ActNoMatterWhat YES I was a been mon daughter now 26 and uses thank god and had an abortion as a been,Breast cancer,Neoplasms,6.77E+17,0.0
131,Acupuncture Helps CurbHotFlashes in Breast Cancer Survivor,Migraine,Neurological disorders,6.81E+17,0.0
132,Acute Myocarditis in a Patient with Newly Diagnosed Granulomatosis with P Psychiatry,Cervical cancer,Neoplasms,6.81E+17,0.0
133,Acute pancreatitis in dogs is common but not normal That it is what to do if it happens and how to avoid it,lung cancer,Neoplasms,6.77E+17,0.0
134,Acute pancreatitis international classification and nomenclature prompt radiology,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,0.0
135,Acute Pancreatitis The Latest on Etiology,Endocarditis,Cardiovascular and circulatory diseases,6.74E+17,0.0
136,Adams Announces Positive Top Line Phase 3 Results of ADS 5102 for the Treatment of Levodopa induced Dyskinesia,Peptic ulcer,Digestive diseases (except cirrhosis),6.78E+17,0.0
137,ADAO December newsletter Raising Awareness 5 Common Causes of Hung Cancer,Cervical cancer,Neoplasms,6.78E+17,0.0
138,Add flax seeds 2 your foods 2 help improve blood sugar levels protect against breast colon amp prostate cancer amp improve digestion health,Asthma,Chronic respiratory diseases,6.80E+17,0.0
139,Additional 400 HIV AIDS Case Been in Santa Him South of Than,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,0.0
140,Adults with cerebral palsy more likely to have chronic health conditions Adults with cerebral,Pancreatitis,Digestive diseases (except cirrhosis),6.76E+17,0.0
141,Advanced kidney cancer The DARTStudy may be right for you Learn more about this clinical trial here,lung cancer,Neoplasms,6.78E+17,0.0
142,Advancing radiation therapy in pancreatic and liver cancer,Breast cancer,Neoplasms,6.78E+17,0.0
143,Advantages and spotted psychomotor epilepsy entree campervan fires fQVMdj,Prostate cancer,Neoplasms,6.80E+17,0.0
144,Advaxis and income announce da clearance of investigation new drug application for p,COPD,Chronic respiratory diseases,6.77E+17,0.0
145,Afford signs 7 year old leukaemia patient to baseball team,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
146,After Carry funeral I made a promise to myself not to attend no more funeral It s too sad and my asthma acts up every time,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,0.0
147,after studying for path tonight we ve decided Vara has early onset Alzheimer s and I have a septic ulcer,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
148,Age and sex specific social contact patterns and incidence of mycobacterium tuberculosis infection Mere of,Endocarditis,Cardiovascular and circulatory diseases,6.78E+17,0.0
149,Ah but at the same time studying Groans Ulcerative politics keratitis Cripple s septic Ulcer amp so on,Non-Hodgkin lymphoma,Neoplasms,6.76E+17,0.0
150,ah You re too kind tuberculosis,Leukemia,Neoplasms,6.77E+17,0.0
151,AHA ASA Statement National for the Inclusion Exclusion Criteria for Intravenous Alteplase in Acute Ischaemic Stroke,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
153,AHA Ezetimibe reduces ischaemic stroke risk Endocrinology via,Pancreatitis,Digestive diseases (except cirrhosis),6.76E+17,0.0
154,aids and his are fraud,Breast cancer,Neoplasms,6.81E+17,0.0
155,AIDS Healthcare And Was All CDC PrEP Plan a amp 039 Failure amp 039 ha ha ha Sick AHF org they kicked its out often,Cardiomyopathy,Cardiovascular and circulatory diseases,6.78E+17,0.0
156,AIDS N Cambodian doctor guilty of infecting patients with HIV,Endocarditis,Cardiovascular and circulatory diseases,6.75E+17,0.0
157,AIDS N From council boss lands free HIV AIDS test initiative The Council boss made in an interview with National,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,0.0
158,AIDS N More education among youth about HIV AIDS It present 81 per cent of the estimated 1 8 per cent of people,ischemic stroke,Cardiovascular and circulatory diseases,6.75E+17,0.0
159,AIDS N of launched new plans to dramatically reduce new HIV infections He said the zero new infections zero,Epilepsy,Neurological disorders,6.81E+17,0.0
160,alan Mielke emergency is different But a standard abortion for a foetus before 8 weeks is not inhumane,Ovarian cancer,Neoplasms,6.80E+17,0.0
161,Alcohol side effects liver cancer depression alcohol poison and etc Need side effects hungry happy chilled AlcoholLegal amp WeedIllegal,Breast cancer,Neoplasms,6.78E+17,0.0
162,ALEX COUGH COUGH WHAT of of HAVE TUBERCULOSIS,COPD,Chronic respiratory diseases,6.78E+17,0.0
163,alive  of 1 in 5 women do not attend their cervicalscreening Head why it s important to go here,multiple sclerosis,Neurological disorders,6.81E+17,0.0
164,alive  of 10 signs you may be getting multiple sclerosis,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
165,alive  of A woman from South Lyon has stage 3 cervical cancer and her one last wish is to reach of of of of,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,0.0
166,alive  of An holiday tinge drinking damage the heart loveyourheartdfw,Ovarian cancer,Neoplasms,6.80E+17,0.0
167,alive  of Had always thought laughter was the best medicine which I guess is why several of us died of tuberculosis,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,0.0
168,All bladder,Endocarditis,Cardiovascular and circulatory diseases,6.78E+17,0.0
169,All bladder pathology cholelithasis in of,Ischemic heart,Cardiovascular and circulatory diseases,6.81E+17,0.0
170,All for registration The definition of Alzheimer s disease and its social and ethical consequences Full m,COPD,Chronic respiratory diseases,6.71E+17,0.0
171,All grandparents died of heart disease strokes and renal failure Uncle had a kidney transplant due to diabetes mon s got it etc,multiple sclerosis,Neurological disorders,6.81E+17,0.0
172,All I want for Christmas is a healthy body free of pain and gall bladder stones of my entire gall bladder th I don t need her ll,multiple sclerosis,Neurological disorders,6.78E+17,0.0
173,All motion abnormality of takotsubo cardiomyopathy recovers No Vital euroecho,ischemic stroke,Cardiovascular and circulatory diseases,6.71E+17,0.0
174,All to regulate starvation of Paris thin models Prohibiting runaway models from Egg amp 039 s Diabetes,Pancreatic cancer,Neoplasms,6.80E+17,0.0
175,All Was Going Splendidly Until I Was Diagnosed With Breast Cancer conscioushealthsolutions health,Ovarian cancer,Neoplasms,6.78E+17,0.0
176,Allergist jobs Canada Albert of Edmonton InspiroMed Clergy and Asthma Partnership requires full time,Parkinsons disease,Neurological disorders,6.81E+17,0.0
177,Ally Side First American Woman In Space Lies Of Pancreatic Cancer That Is It conscioushealthsolutions health,Atrial fibrillation,Cardiovascular and circulatory diseases,6.76E+17,0.0
178,Almost done with this hospital visit Holy fuck Only a week later All bladder comes out in an hour or so,Aortic aneurysm,Cardiovascular and circulatory diseases,6.73E+17,0.0
179,Also final had me so stressed that I m 110 certain I have septic ulcer disease Regardless I WILL drink today,Leukemia,Neoplasms,6.81E+17,0.0
180,also it can lead to Chronic Destructive Pulmonary Disease in the lungs,Breast cancer,Neoplasms,6.77E+17,0.0
181,also one important cause is infective endocarditis,Pancreatic cancer,Neoplasms,6.76E+17,0.0
182,also suffering from asthma was using an inhaled when went of injured,Asthma,Chronic respiratory diseases,6.80E+17,0.0
183,Although localised presentations are uncommon in non Hodgkin lympho NHL the goal of treatment should be to cure the dis,COPD,Chronic respiratory diseases,6.76E+17,0.0
184,Aluminium adjutants R deadly Gardasil causing cervical cancer fertility menopause autoimmune diseases Locally,Epilepsy,Neurological disorders,6.77E+17,0.0
185,Alzheimer chat with other sufferer at Visit,Kidney cancer,Neoplasms,6.78E+17,0.0
186,Alzheimer GenesThat Alzheimer s Scientists Discover Eyes That An Delay Onset By 17 Years R science,Liver cancer,Neoplasms,6.76E+17,0.0
187,Alzheimer s Advantage You can hide your own Master eggs,Asthma,Chronic respiratory diseases,6.81E+17,0.0
188,Alzheimer s Disease Research is Pointing in a Very Surprising New Direction Fig Think,Pancreatic cancer,Neoplasms,6.76E+17,0.0
189,Alzheimer s or raging Experts share signs to look for during holidays GoogleAlerts,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17,0.0
190,ALZHEIMER S Purified marijuana compound may reduce stubborn epileptic seizures,Ovarian cancer,Neoplasms,6.80E+17,0.0
191,Am appreciate un videoclip pe Help Elba Right Multiple Sclerosis of,multiple sclerosis,Neurological disorders,6.77E+17,0.0
192,Amazing Breast Cancer Tattoo Coverups,Breast cancer,Neoplasms,6.81E+17,0.0
193,American 1 of every 5 maternal deaths is due to obstetric haemorrhage ZeroMaternalDeaths,Cardiomyopathy,Cardiovascular and circulatory diseases,6.76E+17,0.0
194,American Cancer Society reports new research to prevent amp treat cervical cancer,Prostate cancer,Neoplasms,6.81E+17,0.0
195,American Kidney Fund Log 4 Things You Should Understand About Giving with Kidney Disease,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
196,Amoebas reveals how human away cells rally against cigarette smoke damage Chronic destructive pulmonary disease COPD is the this,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,0.0
197,An 2016 RADIOLOGY issue online 5 excellent of articles radiology liver cancer had ran,Breast cancer,Neoplasms,6.78E+17,0.0
198,An a man heal after his baby is adopted abortion Christian romance Deliver Is,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,0.0
199,An blood test reduce deaths from ovarian cancer science,Kidney cancer,Neoplasms,6.78E+17,0.0
200,an endocarditis is a liberalism effaceable and smallish,Parkinsons disease,Neurological disorders,6.78E+17,0.0
201,An high stress raise your risk of Alzheimer s,Parkinsons disease,Neurological disorders,6.81E+17,0.0
202,An Marijuana Great Alzheimer s THC Reduces Brain Plague Buildup,COPD,Chronic respiratory diseases,6.71E+17,0.0
203,An people help my cousin in law out The is currently in the hospital fighting cancer The is diagnosed with terminal pancreatic cancer,Asthma,Chronic respiratory diseases,6.78E+17,0.0
204,An Rose California hospital Potential tuberculosis exposure to hundreds of infants mothers CBS News,Prostate cancer,Neoplasms,6.81E+17,0.0
205,An some of these take things too far Why would I willingly give myself diabetes,Ovarian cancer,Neoplasms,6.81E+17,0.0
206,An someone at least come get me to get some figs so I can at least drowned my tears in lung cancer,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17,0.0
207,An you recommend anyone for this job Activities Associate at Namaste Alzheimer Enter PRN Mob Healthcare,Liver cancer,Neoplasms,6.80E+17,0.0
208,An you recommend anyone for this job Clinical Trial Manager Peripheral Arterial Disease 40 his Days,Ovarian cancer,Neoplasms,6.78E+17,0.0
209,An you recommend anyone for this Nursing job Phoenix of Firing,Kidney cancer,Neoplasms,6.80E+17,0.0
210,anaemia in chronic kidney disease PowerPoint Slide anaemia in chronic kidney disease,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,0.0
211,Analysis of anatomical risk factors for persistent type of endoleaks following endovascular abdominal aortic,Pancreatic cancer,Neoplasms,6.76E+17,0.0
212,and Announce Cancer Immunotherapy Collaboration for On Hodgkin Lymphoma,Pancreatic cancer,Neoplasms,6.81E+17,0.0
213,And the fact they tell nicotine is cause of lung cancer where tar benzene toluene and others are the real culprit,Kidney cancer,Neoplasms,6.77E+17,0.0
214,and the heart quite clot of cardiomyopathy is alcohol related and the doctor is often in the dark,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,0.0
215,And this headache is turning into a migrate,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17,0.0
216,And those who don t know he had a motorcycle accident that nearly killed him and he has had kidney cancer,Atrial fibrillation,Cardiovascular and circulatory diseases,6.77E+17,0.0
217,Annual Blood West Right Help Prevent Deaths from Ovarian Cancer,Liver cancer,Neoplasms,6.79E+17,0.0
218,Anoci takes an FDA shortest with its diabetes comb racing with Novo FierceBiotech,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,0.0
219,Anorexia Red Primary liver sinusoidal non Hodgkin s lympho presenting as acute liver failure,COPD,Chronic respiratory diseases,6.81E+17,0.0
220,Anthropometric measures at multiple times throughout life and prostate cancer diagnosis metastasis a cancer,Non-Hodgkin lymphoma,Neoplasms,6.74E+17,0.0
221,Anti AIDS Drugs An Prevent HIV Infection Of Taken Before After Ex,Gall bladder,Digestive diseases (except cirrhosis),6.75E+17,0.0
222,Anti asthma Rheumatic heart disease,Prostate cancer,Neoplasms,6.81E+17,0.0
223,Anti Speaks about Strategics to treat and prevent Alzheimer s disease,Pancreatic cancer,Neoplasms,6.76E+17,0.0
224,Antroduodenectomy with Gastroduodenal Anastomosis Savage Emergency Surgery for Complicated Septic Ulcer Disease,Parkinsons disease,Neurological disorders,6.76E+17,0.0
225,ANVISA approved Finer s axitinib for kidney cancer,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17,0.0
226,Any chronic kidney disease patients should take stations,Aortic aneurysm,Cardiovascular and circulatory diseases,6.74E+17,0.0
227,Any LFS breast cancers are Her positive Researches started examining whether or not this can help predict,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17,0.0
