text,topic,group,isDup,sentimentValue,sentiment
2649 Parkinsons Disease West selling Took In The Internet,Parkinsons disease,Neurological disorders,0.0,0.0,Neutral
2DaysToGo AsthmaAwareness via of asthma 2 days to go till Seat the Breeze asthma awareness,Asthma,Chronic respiratory diseases,0.0,10.0,Positive
3094 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
31dayOTchallenge BoardReform Personalized therapy for multiple sclerosis of,multiple sclerosis,Neurological disorders,0.0,0.0,Neutral
3254 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
350 infants possibly exposed to tuberculosis,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
350 Infants Possibly Exposed to Tuberculosis by California Hospital Employee,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
350 Infants Possibly Exposed To Tuberculosis It California Hospital Went from CNR,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
350 infants possibly exposed to tuberculosis Officials at a May Area hospital are offering antibiotic treatment,Tuberculosis,HIV/AIDS and tuberculosis,0.0,10.0,Positive
4 Acts Head more it it it,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
4 an increased risk of prostate cancer It s been a tough week for vitamin said Carried Kann of ABC News These findings,Prostate cancer,Neoplasms,0.0,-10.0,Negative
4000 new cases of HIV Lids reported in Nakuru says official More than 4 000 new cases of AfyaKenya HIVAIDS,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
41 of people diagnosed with River Cancer are diagnosed in it s earliest stages,Liver cancer,Neoplasms,0.0,-20.0,Negative
4643 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
5 Deadly Prostate Cancer Eyes Identified conscioushealthsolutions health,Prostate cancer,Neoplasms,0.0,-10.0,Negative
5 million in funding for research into malaria and tuberculosis drug discovery Science,Tuberculosis,HIV/AIDS and tuberculosis,0.0,10.0,Positive
5 Things Very Woman Must Now About Ovarian Cancer,Ovarian cancer,Neoplasms,0.0,0.0,Neutral
5851 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
6 Dear Old Leukaemia Patient Decline Take A Wish Meeting With Na Garden conscioushealthsolutions health,Leukemia,Neoplasms,0.0,10.0,Positive
6 I almost never eat on time I only eat whenever I feel like eating It s bad I know Now I have septic ulcer On t be like me kiss,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,10.0,Positive
6 pounds in one day gone From peking Diabetes is seriously on my last nerve,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
6447 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
7 1 4 Headed Bracelets and Watching Earrings Pink With Breast Cancer amp Butterfly Did Now,Breast cancer,Neoplasms,0.0,0.0,Neutral
7 Celebrities Who Faced Cervical Cancer conscioushealthsolutions health,Cervical cancer,Neoplasms,0.0,0.0,Neutral
7 out of 10 renal cell carcinoma RCC cases are clear cell RCC,Kidney cancer,Neoplasms,0.0,0.0,Neutral
7 smoking cigarettes because lung cancer isn t aesthetic,lung cancer,Neoplasms,0.0,0.0,Neutral
7043 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
72 of Alzheimer s sufferer are women alzheimerontario Register to learn more amp enter to In an had Fire,Alzheimer,Neurological disorders,0.0,0.0,Neutral
8114 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
82 The knows she won t be conscripted because of epilepsy it s easy to send others to do what she can t,Epilepsy,Neurological disorders,0.0,0.0,Neutral
8880 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
9 out of 10 Transitional cell carcinoma TCCs of the kidney are cured if they are found at an early stage,Kidney cancer,Neoplasms,0.0,10.0,Positive
9 Signs That You Have Hung Cancer MUST READ TNP Rending News Mortal,lung cancer,Neoplasms,0.0,0.0,Neutral
9936 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
999 Looks like more than simple pericarditis to me To in a young male with fever and mild of my bet is on acute myocarditis,myocarditis,Cardiovascular and circulatory diseases,0.0,-20.0,Negative
A bodybuilder who forged on june food died of liver cancer caused by osteoid abuse A coroner ruled that disuse of the drugs had a,Liver cancer,Neoplasms,0.0,-10.0,Negative
A bu Did you know older black dukes more susceptible to prostate cancer Younger white dukes reticular cancer,Prostate cancer,Neoplasms,0.0,0.0,Neutral
A bug killer from the was may have been damaging milk drinker s brains via,Parkinsons disease,Neurological disorders,0.0,-10.0,Negative
A combination of vegetables and carry helps prevent prostate cancer researches say just 1 serving a week is enough for prevention,Prostate cancer,Neoplasms,0.0,30.0,Positive
A cure for all disease except death Pancreatic Cancer,Pancreatic cancer,Neoplasms,0.0,0.0,Neutral
A garage disposal drug may slow Alzheimer s and other neurodegenerative diseases,Alzheimer,Neurological disorders,0.0,0.0,Neutral
A link between carbohydrates and ovarian cancer Learn more,Ovarian cancer,Neoplasms,0.0,0.0,Neutral
A member of our News 8 family shares the story of her battle against breast cancer,Breast cancer,Neoplasms,0.0,-10.0,Negative
A New Gene Editing Technique Burns Human B Biotechnology Genetic Become,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
A New Marijuana Derivative Would Bring Great News for People With Epilepsy Daily America,Epilepsy,Neurological disorders,0.0,0.0,Neutral
A New Method To Right Leukaemia,Leukemia,Neoplasms,0.0,0.0,Neutral
A new publication of our Group A guideline for controlling the tuberculosis among the health care workers,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
A new reason why a Seat based Diet is Dangerous,Kidney cancer,Neoplasms,0.0,-10.0,Negative
A new study has found that a marijuana derivative may be useful for managing epilepsy Credit,Epilepsy,Neurological disorders,0.0,10.0,Positive
A new treatment for multiple sclerosis The drug has dramatic effects on Salon along new treatment fo,multiple sclerosis,Neurological disorders,0.0,10.0,Positive
A new way to detect ovariancancer,Ovarian cancer,Neoplasms,0.0,0.0,Neutral
A perioperative strategy for abdominal aortic aneurysm in patients with chronic renal insufficiency,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,-10.0,Negative
A person with SLE may have inflammation of various parts of the heart such as pericarditis myocarditis and endocarditis Lupus,myocarditis,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
A Population Analysis of Aortic Aneurysm Repair,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,10.0,Positive
A prospective comparative study of bedside index for possessing severity in acute pancreatitis APACHE of and come,Pancreatitis,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
A protein activate by vitamin D could be involved in repairing damage to myelin in people with multiple sclerosis,multiple sclerosis,Neurological disorders,0.0,-10.0,Negative
A Protocol for the Use of Remotely Supervised Transcranial Direct Current Stimulation tDCS in Multiple Sclerosis,multiple sclerosis,Neurological disorders,0.0,0.0,Neutral
A pulmonary function test rules out asthma or emphysema Bronchitis,Asthma,Chronic respiratory diseases,0.0,0.0,Neutral
A quinine chromic picked convenience accumulate number one dismounting pneumoconiosis period lIsdMyTc,Pneumoconiosis,Chronic respiratory diseases,0.0,0.0,Neutral
A RiskFactor for trial fibrillation and stroke,Atrial fibrillation,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
A shocking new study found that eating processes meats increases chances of pancreatic cancer by 67,Pancreatic cancer,Neoplasms,0.0,10.0,Positive
A Successful River Cancer Plan To Right The Disease,Liver cancer,Neoplasms,0.0,10.0,Positive
A Talking Program for Peripheral Arterial Disease PAD Understanding PAD,Peripheral Arterial disease,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
A very interesting study BBC News Suicide gene therapy kills prostate cancer cells,Prostate cancer,Neoplasms,0.0,10.0,Positive
A viewer shared These muscle cramps are too much He watchful,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
AAA Abdominal Aortic Aneurysm with sent insertion amp coiling adjacent haematoma noted watching an ultrasound at,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
AAA screening found more than 3 400 aneurysms in 2014 to 2015 see full data at,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
abdominal aortic aneurysm burst in my stomach To symptoms Blessed you were my constant for 2 weeks through recovery Thanks,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,10.0,Positive
abdominal aortic aneurysm of 8 AAA stands for what now You medical people are more complicated than the military nomenclature,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
Ability of PITX2 methylation to predict survival in patients with prostate cancer,Prostate cancer,Neoplasms,0.0,0.0,Neutral
Able s courage recognised Marrow Able s brave return to golf after two battles with acute myeloid leukaemia ha,Leukemia,Neoplasms,0.0,-10.0,Negative
Able w of may get Pseudobulbar Effect PBA it uncontrollable laughing or crying,multiple sclerosis,Neurological disorders,0.0,0.0,Neutral
Abnormal Glucose Tolerance Is Associated with a Reduced Myocardial Metabolic Flexibility in Patients with,Cardiomyopathy,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
Abortion falls to RecordLow in the of,Abortion,Maternal disorders,0.0,0.0,Neutral
Abortion is associated with an increased risk of fertility miscarriage topic pregnancy and breast cancer,Breast cancer,Neoplasms,0.0,-10.0,Negative
Abortion is FOREVER get the facts first no,Abortion,Maternal disorders,0.0,0.0,Neutral
Abortion is good retroactively Suitable for lips,Abortion,Maternal disorders,0.0,10.0,Positive
Abortion isn t Healtcare it s murder,Abortion,Maternal disorders,0.0,0.0,Neutral
abortion SICK KENT The Secret Trick to Met 2250 000 Coins FIFA 16 are out now check the Secret on on my Profile,Abortion,Maternal disorders,0.0,-10.0,Negative
About 8 years later but I am officially leukaemia free Very thankful,Leukemia,Neoplasms,0.0,0.0,Neutral
Absolutely He is a terrorist Nail is where he belongs prochoice of police feminist abortion WarOnWomen,Abortion,Maternal disorders,0.0,0.0,Neutral
According to haemorrhage bleeding causes one 1 out of 5 maternal deaths ZeroMaternalDeaths,Maternal hemorrhage,Maternal disorders,0.0,-20.0,Negative
Accused killer in clinic attacks says he fears becoming combine,Abortion,Maternal disorders,0.0,-10.0,Negative
ACOG HPV Resting Vaccination Key to Cervical Cancer Prevention CME of,Cervical cancer,Neoplasms,0.0,20.0,Positive
ACOG New recommendations for cervical cancerscreening,Cervical cancer,Neoplasms,0.0,0.0,Neutral
Act But don t they give u liver cancer,Liver cancer,Neoplasms,0.0,0.0,Neutral
Act Septic ulcer occurs in d gastro intestinal tract the can simultaneously occur right from mouth to stomach,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
Actinomyces naeslundii In Uncommon Cause of Endocarditis,Endocarditis,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
Activist say if funds an expensive breast cancer test OncotypeDX it could save money,Breast cancer,Neoplasms,0.0,10.0,Positive
ActNoMatterWhat YES I was a been mon daughter now 26 and uses thank god and had an abortion as a been,Abortion,Maternal disorders,0.0,0.0,Neutral
Acupuncture Helps CurbHotFlashes in Breast Cancer Survivor,Breast cancer,Neoplasms,0.0,20.0,Positive
Acute Myocarditis in a Patient with Newly Diagnosed Granulomatosis with P Psychiatry,myocarditis,Cardiovascular and circulatory diseases,0.0,-20.0,Negative
Acute pancreatitis in dogs is common but not normal That it is what to do if it happens and how to avoid it,Pancreatitis,Digestive diseases (except cirrhosis),0.0,-10.0,Negative
Acute pancreatitis international classification and nomenclature prompt radiology,Pancreatitis,Digestive diseases (except cirrhosis),0.0,-10.0,Negative
Acute Pancreatitis The Latest on Etiology,Pancreatitis,Digestive diseases (except cirrhosis),0.0,-10.0,Negative
Adams Announces Positive Top Line Phase 3 Results of ADS 5102 for the Treatment of Levodopa induced Dyskinesia,Parkinsons disease,Neurological disorders,0.0,20.0,Positive
ADAO December newsletter Raising Awareness 5 Common Causes of Hung Cancer,lung cancer,Neoplasms,0.0,10.0,Positive
Add flax seeds 2 your foods 2 help improve blood sugar levels protect against breast colon amp prostate cancer amp improve digestion health,Prostate cancer,Neoplasms,0.0,30.0,Positive
Additional 400 HIV AIDS Case Been in Santa Him South of Than,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,10.0,Positive
Adults with cerebral palsy more likely to have chronic health conditions Adults with cerebral,COPD,Chronic respiratory diseases,0.0,-10.0,Negative
Advanced kidney cancer The DARTStudy may be right for you Learn more about this clinical trial here,Kidney cancer,Neoplasms,0.0,0.0,Neutral
Advancing radiation therapy in pancreatic and liver cancer,Liver cancer,Neoplasms,0.0,-10.0,Negative
Advantages and spotted psychomotor epilepsy entree campervan fires fQVMdj,Epilepsy,Neurological disorders,0.0,0.0,Neutral
Advaxis and income announce da clearance of investigation new drug application for p,Cervical cancer,Neoplasms,0.0,0.0,Neutral
Afford signs 7 year old leukaemia patient to baseball team,Leukemia,Neoplasms,0.0,0.0,Neutral
After Carry funeral I made a promise to myself not to attend no more funeral It s too sad and my asthma acts up every time,Asthma,Chronic respiratory diseases,0.0,10.0,Positive
after studying for path tonight we ve decided Vara has early onset Alzheimer s and I have a septic ulcer,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
Age and sex specific social contact patterns and incidence of mycobacterium tuberculosis infection Mere of,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
Ah but at the same time studying Groans Ulcerative politics keratitis Cripple s septic Ulcer amp so on,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,-10.0,Negative
ah You re too kind tuberculosis,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
AHA ASA Statement National for the Inclusion Exclusion Criteria for Intravenous Alteplase in Acute Ischaemic Stroke,ischemic stroke,Cardiovascular and circulatory diseases,0.0,-10.0,Negative
AHA Ezetimibe reduces ischaemic stroke risk Endocrinology via,ischemic stroke,Cardiovascular and circulatory diseases,0.0,-10.0,Negative
aids and his are fraud,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,10.0,Positive
AIDS Healthcare And Was All CDC PrEP Plan a amp 039 Failure amp 039 ha ha ha Sick AHF org they kicked its out often,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,-10.0,Negative
AIDS N Cambodian doctor guilty of infecting patients with HIV,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,10.0,Positive
AIDS N From council boss lands free HIV AIDS test initiative The Council boss made in an interview with National,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,20.0,Positive
AIDS N More education among youth about HIV AIDS It present 81 per cent of the estimated 1 8 per cent of people,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,20.0,Positive
AIDS N of launched new plans to dramatically reduce new HIV infections He said the zero new infections zero,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,10.0,Positive
alan Mielke emergency is different But a standard abortion for a foetus before 8 weeks is not inhumane,Abortion,Maternal disorders,0.0,0.0,Neutral
Alcohol side effects liver cancer depression alcohol poison and etc Need side effects hungry happy chilled AlcoholLegal amp WeedIllegal,Liver cancer,Neoplasms,0.0,-20.0,Negative
ALEX COUGH COUGH WHAT of of HAVE TUBERCULOSIS,Tuberculosis,HIV/AIDS and tuberculosis,0.0,-20.0,Negative
alive  of 1 in 5 women do not attend their cervicalscreening Head why it s important to go here,Cervical cancer,Neoplasms,0.0,10.0,Positive
alive  of 10 signs you may be getting multiple sclerosis,multiple sclerosis,Neurological disorders,0.0,10.0,Positive
alive  of A woman from South Lyon has stage 3 cervical cancer and her one last wish is to reach of of of of,Cervical cancer,Neoplasms,0.0,20.0,Positive
alive  of An holiday tinge drinking damage the heart loveyourheartdfw,Atrial fibrillation,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
alive  of Had always thought laughter was the best medicine which I guess is why several of us died of tuberculosis,Tuberculosis,HIV/AIDS and tuberculosis,0.0,10.0,Positive
All bladder,Gall bladder,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
All bladder pathology cholelithasis in of,Gall bladder,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
All for registration The definition of Alzheimer s disease and its social and ethical consequences Full m,Alzheimer,Neurological disorders,0.0,0.0,Neutral
All grandparents died of heart disease strokes and renal failure Uncle had a kidney transplant due to diabetes mon s got it etc,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
All I want for Christmas is a healthy body free of pain and gall bladder stones of my entire gall bladder th I don t need her ll,Gall bladder,Digestive diseases (except cirrhosis),0.0,10.0,Positive
All motion abnormality of takotsubo cardiomyopathy recovers No Vital euroecho,Cardiomyopathy,Cardiovascular and circulatory diseases,0.0,10.0,Positive
All to regulate starvation of Paris thin models Prohibiting runaway models from Egg amp 039 s Diabetes,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-10.0,Negative
All Was Going Splendidly Until I Was Diagnosed With Breast Cancer conscioushealthsolutions health,Breast cancer,Neoplasms,0.0,-10.0,Negative
Allergist jobs Canada Albert of Edmonton InspiroMed Clergy and Asthma Partnership requires full time,Asthma,Chronic respiratory diseases,0.0,0.0,Neutral
Ally Side First American Woman In Space Lies Of Pancreatic Cancer That Is It conscioushealthsolutions health,Pancreatic cancer,Neoplasms,0.0,-10.0,Negative
Almost done with this hospital visit Holy fuck Only a week later All bladder comes out in an hour or so,Gall bladder,Digestive diseases (except cirrhosis),0.0,-10.0,Negative
Also final had me so stressed that I m 110 certain I have septic ulcer disease Regardless I WILL drink today,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,-10.0,Negative
also it can lead to Chronic Destructive Pulmonary Disease in the lungs,COPD,Chronic respiratory diseases,0.0,-10.0,Negative
also one important cause is infective endocarditis,Endocarditis,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
also suffering from asthma was using an inhaled when went of injured,Asthma,Chronic respiratory diseases,0.0,-10.0,Negative
Although localised presentations are uncommon in non Hodgkin lympho NHL the goal of treatment should be to cure the dis,Non-Hodgkin lymphoma,Neoplasms,0.0,20.0,Positive
Aluminium adjutants R deadly Gardasil causing cervical cancer fertility menopause autoimmune diseases Locally,Cervical cancer,Neoplasms,0.0,-10.0,Negative
Alzheimer chat with other sufferer at Visit,Alzheimer,Neurological disorders,0.0,0.0,Neutral
Alzheimer GenesThat Alzheimer s Scientists Discover Eyes That An Delay Onset By 17 Years R science,Alzheimer,Neurological disorders,0.0,0.0,Neutral
Alzheimer s Advantage You can hide your own Master eggs,Alzheimer,Neurological disorders,0.0,0.0,Neutral
Alzheimer s Disease Research is Pointing in a Very Surprising New Direction Fig Think,Alzheimer,Neurological disorders,0.0,0.0,Neutral
Alzheimer s or raging Experts share signs to look for during holidays GoogleAlerts,Alzheimer,Neurological disorders,0.0,0.0,Neutral
ALZHEIMER S Purified marijuana compound may reduce stubborn epileptic seizures,Alzheimer,Neurological disorders,0.0,0.0,Neutral
Am appreciate un videoclip pe Help Elba Right Multiple Sclerosis of,multiple sclerosis,Neurological disorders,0.0,10.0,Positive
Amazing Breast Cancer Tattoo Coverups,Breast cancer,Neoplasms,0.0,10.0,Positive
American 1 of every 5 maternal deaths is due to obstetric haemorrhage ZeroMaternalDeaths,Maternal hemorrhage,Maternal disorders,0.0,-10.0,Negative
American Cancer Society reports new research to prevent amp treat cervical cancer,Cervical cancer,Neoplasms,0.0,10.0,Positive
American Kidney Fund Log 4 Things You Should Understand About Giving with Kidney Disease,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,10.0,Positive
Amoebas reveals how human away cells rally against cigarette smoke damage Chronic destructive pulmonary disease COPD is the this,COPD,Chronic respiratory diseases,0.0,-20.0,Negative
An 2016 RADIOLOGY issue online 5 excellent of articles radiology liver cancer had ran,Liver cancer,Neoplasms,0.0,0.0,Neutral
An a man heal after his baby is adopted abortion Christian romance Deliver Is,Abortion,Maternal disorders,0.0,0.0,Neutral
An blood test reduce deaths from ovarian cancer science,Ovarian cancer,Neoplasms,0.0,-20.0,Negative
an endocarditis is a liberalism effaceable and smallish,Endocarditis,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
An high stress raise your risk of Alzheimer s,Alzheimer,Neurological disorders,0.0,-20.0,Negative
An Marijuana Great Alzheimer s THC Reduces Brain Plague Buildup,Alzheimer,Neurological disorders,0.0,0.0,Neutral
An people help my cousin in law out The is currently in the hospital fighting cancer The is diagnosed with terminal pancreatic cancer,Pancreatic cancer,Neoplasms,0.0,0.0,Neutral
An Rose California hospital Potential tuberculosis exposure to hundreds of infants mothers CBS News,Tuberculosis,HIV/AIDS and tuberculosis,0.0,0.0,Neutral
An some of these take things too far Why would I willingly give myself diabetes,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
An someone at least come get me to get some figs so I can at least drowned my tears in lung cancer,lung cancer,Neoplasms,0.0,0.0,Neutral
An you recommend anyone for this job Activities Associate at Namaste Alzheimer Enter PRN Mob Healthcare,Alzheimer,Neurological disorders,0.0,0.0,Neutral
An you recommend anyone for this job Clinical Trial Manager Peripheral Arterial Disease 40 his Days,Peripheral Arterial disease,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
An you recommend anyone for this Nursing job Phoenix of Firing,Epilepsy,Neurological disorders,0.0,10.0,Positive
anaemia in chronic kidney disease PowerPoint Slide anaemia in chronic kidney disease,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-20.0,Negative
Analysis of anatomical risk factors for persistent type of endoleaks following endovascular abdominal aortic,Aortic aneurysm,Cardiovascular and circulatory diseases,0.0,-10.0,Negative
and Announce Cancer Immunotherapy Collaboration for On Hodgkin Lymphoma,Non-Hodgkin lymphoma,Neoplasms,0.0,10.0,Positive
And the fact they tell nicotine is cause of lung cancer where tar benzene toluene and others are the real culprit,lung cancer,Neoplasms,0.0,0.0,Neutral
and the heart quite clot of cardiomyopathy is alcohol related and the doctor is often in the dark,Cardiomyopathy,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
And this headache is turning into a migrate,Migraine,Neurological disorders,0.0,0.0,Neutral
And those who don t know he had a motorcycle accident that nearly killed him and he has had kidney cancer,Kidney cancer,Neoplasms,0.0,-20.0,Negative
Annual Blood West Right Help Prevent Deaths from Ovarian Cancer,Ovarian cancer,Neoplasms,0.0,0.0,Neutral
Anoci takes an FDA shortest with its diabetes comb racing with Novo FierceBiotech,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",0.0,0.0,Neutral
Anorexia Red Primary liver sinusoidal non Hodgkin s lympho presenting as acute liver failure,Non-Hodgkin lymphoma,Neoplasms,0.0,-20.0,Negative
Anthropometric measures at multiple times throughout life and prostate cancer diagnosis metastasis a cancer,Prostate cancer,Neoplasms,0.0,10.0,Positive
Anti AIDS Drugs An Prevent HIV Infection Of Taken Before After Ex,HIV/AIDS,HIV/AIDS and tuberculosis,0.0,20.0,Positive
Anti asthma Rheumatic heart disease,Rheumatic heart,Cardiovascular and circulatory diseases,0.0,0.0,Neutral
Anti Speaks about Strategics to treat and prevent Alzheimer s disease,Alzheimer,Neurological disorders,0.0,10.0,Positive
Antroduodenectomy with Gastroduodenal Anastomosis Savage Emergency Surgery for Complicated Septic Ulcer Disease,Peptic ulcer,Digestive diseases (except cirrhosis),0.0,0.0,Neutral
ANVISA approved Finer s axitinib for kidney cancer,Kidney cancer,Neoplasms,0.0,10.0,Positive
Any chronic kidney disease patients should take stations,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",0.0,-10.0,Negative
