time,text,topic,group,id,isDup
2015-12-23T22:04:50.000Z,4447 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Ovarian cancer,Neoplasms,6.80E+17,
2015-12-18T12:32:04.000Z,4643 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Rheumatic heart,Cardiovascular and circulatory diseases,6.78E+17,
2015-12-19T23:50:28.000Z,5 Deadly Prostate Cancer Eyes Identified conscioushealthsolutions health,Abortion,Maternal disorders,6.78E+17,
2015-12-16T19:35:24.000Z,5 million in funding for research into malaria and tuberculosis drug discovery Science,Tuberculosis,HIV/AIDS and tuberculosis,6.77E+17,
2015-12-16T21:25:48.000Z,5 Things Very Woman Must Now About Ovarian Cancer,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-23T23:28:08.000Z,5654 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Alzheimer,Neurological disorders,6.80E+17,
2015-12-19T23:39:32.000Z,5851 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
2015-12-26T22:58:31.000Z,6 Dear Old Leukaemia Patient Decline Take A Wish Meeting With Na Garden conscioushealthsolutions health,Epilepsy,Neurological disorders,6.81E+17,
2015-12-15T16:20:38.000Z,6 I almost never eat on time I only eat whenever I feel like eating It s bad I know Now I have septic ulcer On t be like me kiss,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,
2015-12-24T07:40:52.000Z,6 pounds in one day gone From peking Diabetes is seriously on my last nerve,Pancreatitis,Digestive diseases (except cirrhosis),6.80E+17,
2015-12-23T22:56:03.000Z,6049 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,multiple sclerosis,Neurological disorders,6.80E+17,
2015-12-21T13:03:14.000Z,6447 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-16T22:46:47.000Z,7 1 4 Headed Bracelets and Watching Earrings Pink With Breast Cancer amp Butterfly Did Now,multiple sclerosis,Neurological disorders,6.77E+17,
2015-12-21T13:50:39.000Z,7 Celebrities Who Faced Cervical Cancer conscioushealthsolutions health,Maternal hemorrhage,Maternal disorders,6.79E+17,
2015-12-19T22:01:57.000Z,7 out of 10 renal cell carcinoma RCC cases are clear cell RCC,Leukemia,Neoplasms,6.78E+17,
2015-12-16T21:22:17.000Z,7 smoking cigarettes because lung cancer isn t aesthetic,lung cancer,Neoplasms,6.77E+17,
2015-12-23T22:40:14.000Z,7043 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Epilepsy,Neurological disorders,6.80E+17,
2015-12-25T18:12:34.000Z,72 of Alzheimer s sufferer are women alzheimerontario Register to learn more amp enter to In an had Fire,Peptic ulcer,Digestive diseases (except cirrhosis),6.80E+17,
2015-12-23T08:42:39.000Z,7394 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,
2015-12-23T21:30:11.000Z,7997 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Pancreatic cancer,Neoplasms,6.80E+17,
2015-12-18T00:34:18.000Z,8114 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Endocarditis,Cardiovascular and circulatory diseases,6.78E+17,
2015-12-26T23:56:37.000Z,82 The knows she won t be conscripted because of epilepsy it s easy to send others to do what she can t,Breast cancer,Neoplasms,6.81E+17,
2015-12-16T20:19:06.000Z,8499 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Ovarian cancer,Neoplasms,6.77E+17,
2015-12-19T18:14:11.000Z,8880 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-23T19:48:22.000Z,9 out of 10 Transitional cell carcinoma TCCs of the kidney are cured if they are found at an early stage,multiple sclerosis,Neurological disorders,6.80E+17,
2015-12-16T21:49:49.000Z,9 Signs That You Have Hung Cancer MUST READ TNP Rending News Mortal,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-18T18:51:42.000Z,9182 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Aortic aneurysm,Cardiovascular and circulatory diseases,6.78E+17,
2015-12-23T23:30:04.000Z,9936 The Complete Guide To Chronic Kidney Disease cry In Dogs Oats,Asthma,Chronic respiratory diseases,6.80E+17,
2015-12-23T19:42:41.000Z,999 Looks like more than simple pericarditis to me To in a young male with fever and mild of my bet is on acute myocarditis,Leukemia,Neoplasms,6.80E+17,
2015-12-16T23:46:34.000Z,A bodybuilder who forged on june food died of liver cancer caused by osteoid abuse A coroner ruled that disuse of the drugs had a,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
Mon Nov 30 13:19:34 +0000 2015,A bu Did you know older black dukes more susceptible to prostate cancer Younger white dukes reticular cancer,Endocarditis,Cardiovascular and circulatory diseases,6.71E+17,
2015-12-26T19:13:03.000Z,A bug killer from the was may have been damaging milk drinker s brains via,Pancreatic cancer,Neoplasms,6.81E+17,
2015-12-23T22:58:29.000Z,A combination of vegetables and carry helps prevent prostate cancer researches say just 1 serving a week is enough for prevention,multiple sclerosis,Neurological disorders,6.80E+17,
2015-12-26T15:32:25.000Z,A cure for all disease except death Pancreatic Cancer,myocarditis,Cardiovascular and circulatory diseases,6.81E+17,
2015-12-23T16:55:50.000Z,A garage disposal drug may slow Alzheimer s and other neurodegenerative diseases,Ovarian cancer,Neoplasms,6.80E+17,
2015-12-19T23:55:04.000Z,A link between carbohydrates and ovarian cancer Learn more,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
2015-12-16T23:31:02.000Z,A member of our News 8 family shares the story of her battle against breast cancer,Alzheimer,Neurological disorders,6.77E+17,
2015-12-26T21:32:04.000Z,A New Gene Editing Technique Burns Human B Biotechnology Genetic Become,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-23T23:33:14.000Z,A New Marijuana Derivative Would Bring Great News for People With Epilepsy Daily America,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-23T22:34:35.000Z,A New Method To Right Leukaemia,Leukemia,Neoplasms,6.80E+17,
2015-12-16T17:53:19.000Z,A new publication of our Group A guideline for controlling the tuberculosis among the health care workers,Liver cancer,Neoplasms,6.77E+17,
2015-12-19T22:05:40.000Z,A new reason why a Seat based Diet is Dangerous,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
2015-12-23T23:40:59.000Z,A new study has found that a marijuana derivative may be useful for managing epilepsy Credit,Asthma,Chronic respiratory diseases,6.80E+17,
2015-12-23T23:14:18.000Z,A new treatment for multiple sclerosis The drug has dramatic effects on relapsing of,Prostate cancer,Neoplasms,6.80E+17,
2015-12-23T23:20:21.000Z,A new treatment for multiple sclerosis The drug has dramatic effects on relapsing of via,Breast cancer,Neoplasms,6.80E+17,
2015-12-23T23:18:06.000Z,A new treatment for multiple sclerosis The drug has dramatic effects on Salon along new treatment fo,lung cancer,Neoplasms,6.80E+17,
2015-12-19T23:58:40.000Z,A new way to detect ovariancancer,Ovarian cancer,Neoplasms,6.78E+17,
Sat Dec 12 22:18:42 +0000 2015,A perioperative strategy for abdominal aortic aneurysm in patients with chronic renal insufficiency,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,
2015-12-23T19:29:13.000Z,A person with SLE may have inflammation of various parts of the heart such as pericarditis myocarditis and endocarditis Lupus,Kidney cancer,Neoplasms,6.80E+17,
2015-12-19T22:02:01.000Z,A Population Analysis of Aortic Aneurysm Repair,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,
2015-12-19T22:10:09.000Z,A prospective comparative study of bedside index for possessing severity in acute pancreatitis APACHE of and come,Pancreatic cancer,Neoplasms,6.78E+17,
2015-12-22T04:46:49.000Z,A protein activate by vitamin D could be involved in repairing damage to myelin in people with multiple sclerosis,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,
2015-12-23T23:07:41.000Z,A Protocol for the Use of Remotely Supervised Transcranial Direct Current Stimulation tDCS in Multiple Sclerosis,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-26T22:32:19.000Z,A pulmonary function test rules out asthma or emphysema Bronchitis,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-26T23:31:56.000Z,A quinine chromic picked convenience accumulate number one dismounting pneumoconiosis period lIsdMyTc,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,
2015-12-16T23:50:14.000Z,A RiskFactor for trial fibrillation and stroke,Abortion,Maternal disorders,6.77E+17,
2015-12-23T20:45:19.000Z,A shocking new study found that eating processes meats increases chances of pancreatic cancer by 67,Ovarian cancer,Neoplasms,6.80E+17,
2015-12-23T20:07:07.000Z,A Successful River Cancer Plan To Right The Disease,Leukemia,Neoplasms,6.80E+17,
2015-12-19T21:41:19.000Z,A Talking Program for Peripheral Arterial Disease PAD Understanding PAD,multiple sclerosis,Neurological disorders,6.78E+17,
2015-12-26T22:22:55.000Z,A very interesting study BBC News Suicide gene therapy kills prostate cancer cells,Prostate cancer,Neoplasms,6.81E+17,
2015-12-26T23:46:50.000Z,A viewer shared These muscle cramps are too much He watchful,Abortion,Maternal disorders,6.81E+17,
2015-12-26T20:05:18.000Z,AAA Abdominal Aortic Aneurysm with sent insertion amp coiling adjacent haematoma noted watching an ultrasound at,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,
2015-12-26T06:41:27.000Z,AAA screening found more than 3 400 aneurysms in 2014 to 2015 see full data at,Pancreatic cancer,Neoplasms,6.81E+17,
Sat Dec 12 23:27:57 +0000 2015,abdominal aortic aneurysm burst in my stomach To symptoms Blessed you were my constant for 2 weeks through recovery Thanks,Parkinsons disease,Neurological disorders,6.76E+17,
2015-12-15T19:02:59.000Z,abdominal aortic aneurysm of 8 AAA stands for what now You medical people are more complicated than the military nomenclature,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,
2015-12-26T23:18:03.000Z,Ability of PITX2 methylation to predict survival in patients with prostate cancer,Asthma,Chronic respiratory diseases,6.81E+17,
Fri Dec 11 18:21:12 +0000 2015,Able s courage recognised Marrow Able s brave return to golf after two battles with acute myeloid leukaemia ha,Atrial fibrillation,Cardiovascular and circulatory diseases,6.75E+17,
2015-12-19T23:37:27.000Z,Able w of may get Pseudobulbar Effect PBA it uncontrollable laughing or crying,Alzheimer,Neurological disorders,6.78E+17,
2015-12-19T21:51:38.000Z,Abnormal Glucose Tolerance Is Associated with a Reduced Myocardial Metabolic Flexibility in Patients with,Liver cancer,Neoplasms,6.78E+17,
2015-12-26T23:09:12.000Z,Abortion falls to RecordLow in the of,Ovarian cancer,Neoplasms,6.81E+17,
2015-12-23T12:00:09.000Z,Abortion is associated with an increased risk of fertility miscarriage topic pregnancy and breast cancer,Parkinsons disease,Neurological disorders,6.80E+17,
2015-12-16T23:35:07.000Z,Abortion is FOREVER get the facts first no,Ovarian cancer,Neoplasms,6.77E+17,
2015-12-23T16:54:09.000Z,Abortion is good retroactively Suitable for lips,Pancreatic cancer,Neoplasms,6.80E+17,
Sat Dec 12 00:32:33 +0000 2015,Abortion isn t Healtcare it s murder,Cardiomyopathy,Cardiovascular and circulatory diseases,6.75E+17,
Sat Dec 12 00:01:16 +0000 2015,abortion SICK KENT The Secret Trick to Met 2250 000 Coins FIFA 16 are out now check the Secret on on my Profile,COPD,Chronic respiratory diseases,6.75E+17,
2015-12-22T04:05:31.000Z,About 8 years later but I am officially leukaemia free Very thankful,Liver cancer,Neoplasms,6.79E+17,
2015-12-25T12:12:06.000Z,Absolutely He is a terrorist Nail is where he belongs prochoice of police feminist abortion WarOnWomen,Kidney cancer,Neoplasms,6.80E+17,
Sat Dec 12 22:38:04 +0000 2015,According to haemorrhage bleeding causes one 1 out of 5 maternal deaths ZeroMaternalDeaths,Liver cancer,Neoplasms,6.76E+17,
2015-12-23T15:53:37.000Z,Accused killer in clinic attacks says he fears becoming combine,Cervical cancer,Neoplasms,6.80E+17,
2015-12-21T07:06:39.000Z,ACOG HPV Resting Vaccination Key to Cervical Cancer Prevention CME of,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-20T02:01:24.000Z,ACOG New recommendations for cervical cancerscreening,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-16T23:53:19.000Z,Act But don t they give u liver cancer,Abortion,Maternal disorders,6.77E+17,
2015-12-19T22:19:31.000Z,Act Septic ulcer occurs in d gastro intestinal tract the can simultaneously occur right from mouth to stomach,Epilepsy,Neurological disorders,6.78E+17,
2015-12-26T12:55:21.000Z,Actinomyces naeslundii In Uncommon Cause of Endocarditis,Cervical cancer,Neoplasms,6.81E+17,
Mon Nov 30 13:27:55 +0000 2015,Activist say if funds an expensive breast cancer test OncotypeDX it could save money,Endocarditis,Cardiovascular and circulatory diseases,6.71E+17,
2015-12-16T23:23:13.000Z,ActNoMatterWhat YES I was a been mon daughter now 26 and uses thank god and had an abortion as a been,Breast cancer,Neoplasms,6.77E+17,
2015-12-26T23:00:19.000Z,Acupuncture Helps CurbHotFlashes in Breast Cancer Survivor,Migraine,Neurological disorders,6.81E+17,
2015-12-26T11:34:34.000Z,Acute Myocarditis in a Patient with Newly Diagnosed Granulomatosis with P Psychiatry,Cervical cancer,Neoplasms,6.81E+17,
2015-12-16T23:58:43.000Z,Acute pancreatitis in dogs is common but not normal That it is what to do if it happens and how to avoid it,lung cancer,Neoplasms,6.77E+17,
2015-12-15T08:52:49.000Z,Acute pancreatitis international classification and nomenclature prompt radiology,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,
Sun Dec 06 18:31:35 +0000 2015,Acute Pancreatitis The Latest on Etiology,Endocarditis,Cardiovascular and circulatory diseases,6.74E+17,
2015-12-19T23:19:52.000Z,Adams Announces Positive Top Line Phase 3 Results of ADS 5102 for the Treatment of Levodopa induced Dyskinesia,Peptic ulcer,Digestive diseases (except cirrhosis),6.78E+17,
2015-12-19T15:15:46.000Z,ADAO December newsletter Raising Awareness 5 Common Causes of Hung Cancer,Cervical cancer,Neoplasms,6.78E+17,
2015-12-23T23:20:22.000Z,Add flax seeds 2 your foods 2 help improve blood sugar levels protect against breast colon amp prostate cancer amp improve digestion health,Asthma,Chronic respiratory diseases,6.80E+17,
2015-12-16T21:46:44.000Z,Additional 400 HIV AIDS Case Been in Santa Him South of Than,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,
Sat Dec 12 19:47:39 +0000 2015,Adults with cerebral palsy more likely to have chronic health conditions Adults with cerebral,Pancreatitis,Digestive diseases (except cirrhosis),6.76E+17,
2015-12-19T23:28:12.000Z,Advanced kidney cancer The DARTStudy may be right for you Learn more about this clinical trial here,lung cancer,Neoplasms,6.78E+17,
2015-12-19T22:59:09.000Z,Advancing radiation therapy in pancreatic and liver cancer,Breast cancer,Neoplasms,6.78E+17,
2015-12-23T23:26:41.000Z,Advantages and spotted psychomotor epilepsy entree campervan fires fQVMdj,Prostate cancer,Neoplasms,6.80E+17,
2015-12-17T10:01:30.000Z,Advaxis and income announce da clearance of investigation new drug application for p,COPD,Chronic respiratory diseases,6.77E+17,
2015-12-16T23:33:20.000Z,Afford signs 7 year old leukaemia patient to baseball team,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-19T18:36:21.000Z,After Carry funeral I made a promise to myself not to attend no more funeral It s too sad and my asthma acts up every time,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,
2015-12-16T23:42:51.000Z,after studying for path tonight we ve decided Vara has early onset Alzheimer s and I have a septic ulcer,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-18T21:13:43.000Z,Age and sex specific social contact patterns and incidence of mycobacterium tuberculosis infection Mere of,Endocarditis,Cardiovascular and circulatory diseases,6.78E+17,
Sat Dec 12 14:46:22 +0000 2015,Ah but at the same time studying Groans Ulcerative politics keratitis Cripple s septic Ulcer amp so on,Non-Hodgkin lymphoma,Neoplasms,6.76E+17,
2015-12-16T20:38:18.000Z,ah You re too kind tuberculosis,Leukemia,Neoplasms,6.77E+17,
2015-12-19T23:40:45.000Z,AHA ASA Statement National for the Inclusion Exclusion Criteria for Intravenous Alteplase in Acute Ischaemic Stroke,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
Sat Dec 12 14:58:43 +0000 2015,AHA Ezetimibe reduces ischaemic stroke risk,Pancreatic cancer,Neoplasms,6.76E+17,
Sat Dec 12 15:00:26 +0000 2015,AHA Ezetimibe reduces ischaemic stroke risk Endocrinology via,Pancreatitis,Digestive diseases (except cirrhosis),6.76E+17,
2015-12-26T22:29:26.000Z,aids and his are fraud,Breast cancer,Neoplasms,6.81E+17,
2015-12-19T01:46:29.000Z,AIDS Healthcare And Was All CDC PrEP Plan a amp 039 Failure amp 039 ha ha ha Sick AHF org they kicked its out often,Cardiomyopathy,Cardiovascular and circulatory diseases,6.78E+17,
Fri Dec 11 11:36:14 +0000 2015,AIDS N Cambodian doctor guilty of infecting patients with HIV,Endocarditis,Cardiovascular and circulatory diseases,6.75E+17,
2015-12-19T21:11:33.000Z,AIDS N From council boss lands free HIV AIDS test initiative The Council boss made in an interview with National,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,
Fri Dec 11 14:00:11 +0000 2015,AIDS N More education among youth about HIV AIDS It present 81 per cent of the estimated 1 8 per cent of people,ischemic stroke,Cardiovascular and circulatory diseases,6.75E+17,
2015-12-26T22:28:02.000Z,AIDS N of launched new plans to dramatically reduce new HIV infections He said the zero new infections zero,Epilepsy,Neurological disorders,6.81E+17,
2015-12-23T16:29:23.000Z,alan Mielke emergency is different But a standard abortion for a foetus before 8 weeks is not inhumane,Ovarian cancer,Neoplasms,6.80E+17,
2015-12-19T23:00:52.000Z,Alcohol side effects liver cancer depression alcohol poison and etc Need side effects hungry happy chilled AlcoholLegal amp WeedIllegal,Breast cancer,Neoplasms,6.78E+17,
2015-12-18T15:03:38.000Z,ALEX COUGH COUGH WHAT of of HAVE TUBERCULOSIS,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-26T17:59:24.000Z,alive  of 1 in 5 women do not attend their cervicalscreening Head why it s important to go here,multiple sclerosis,Neurological disorders,6.81E+17,
2015-12-19T23:59:41.000Z,alive  of 10 signs you may be getting multiple sclerosis,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
2015-12-26T17:02:28.000Z,alive  of A woman from South Lyon has stage 3 cervical cancer and her one last wish is to reach of of of of,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-23T19:46:25.000Z,alive  of An holiday tinge drinking damage the heart loveyourheartdfw,Ovarian cancer,Neoplasms,6.80E+17,
2015-12-19T17:56:06.000Z,alive  of Had always thought laughter was the best medicine which I guess is why several of us died of tuberculosis,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,
2015-12-19T09:46:18.000Z,All bladder,Endocarditis,Cardiovascular and circulatory diseases,6.78E+17,
2015-12-26T14:17:49.000Z,All bladder pathology cholelithasis in of,Ischemic heart,Cardiovascular and circulatory diseases,6.81E+17,
Mon Nov 30 14:04:01 +0000 2015,All for registration The definition of Alzheimer s disease and its social and ethical consequences Full m,COPD,Chronic respiratory diseases,6.71E+17,
2015-12-26T23:47:48.000Z,All grandparents died of heart disease strokes and renal failure Uncle had a kidney transplant due to diabetes mon s got it etc,multiple sclerosis,Neurological disorders,6.81E+17,
2015-12-19T23:13:25.000Z,All I want for Christmas is a healthy body free of pain and gall bladder stones of my entire gall bladder th I don t need her ll,multiple sclerosis,Neurological disorders,6.78E+17,
Mon Nov 30 13:44:04 +0000 2015,All motion abnormality of takotsubo cardiomyopathy recovers No Vital euroecho,ischemic stroke,Cardiovascular and circulatory diseases,6.71E+17,
2015-12-23T16:05:36.000Z,All to regulate starvation of Paris thin models Prohibiting runaway models from Egg amp 039 s Diabetes,Pancreatic cancer,Neoplasms,6.80E+17,
2015-12-19T21:11:47.000Z,All Was Going Splendidly Until I Was Diagnosed With Breast Cancer conscioushealthsolutions health,Ovarian cancer,Neoplasms,6.78E+17,
2015-12-26T22:12:35.000Z,Allergist jobs Canada Albert of Edmonton InspiroMed Clergy and Asthma Partnership requires full time,Parkinsons disease,Neurological disorders,6.81E+17,
Sat Dec 12 03:05:40 +0000 2015,Ally Side First American Woman In Space Lies Of Pancreatic Cancer That Is It conscioushealthsolutions health,Atrial fibrillation,Cardiovascular and circulatory diseases,6.76E+17,
Sun Dec 06 05:33:32 +0000 2015,Almost done with this hospital visit Holy fuck Only a week later All bladder comes out in an hour or so,Aortic aneurysm,Cardiovascular and circulatory diseases,6.73E+17,
